"Role","Level","Autonomy","Influence","Complexity","Business skills","Information security","Technical specialism","Innovation","Emerging technology monitoring","Solution architecture","Methods and tools","Project management","Business analysis","Requirements definition and management","Organisation design and implementation","Benefits management","Stakeholder relationship management","Learning and development management","Learning and development assessment","Professional development","Systems development management","Data analysis","Systems design","Database/repository design","Programming/software development","Safety engineering","Information content authoring","Testing","User experience analysis","Systems integration","Porting/software configuration","Data management","Resourcing","Database administration","Contract management","Quality management","Quality assurance","Quality standards","Conformance review","Consultancy","Service level management","Configuration management","Asset management","Applications support","Network support","Problem management","Service desk and incident management","Client services management","Sales support","User experience evaluation","Performance management","Sourcing"
"Software Engineer","Graduate","Works under supervision. Uses little discretion. Is expected to seek guidance in unexpected situations.","Interacts with immediate colleagues. ","Performs routine activities in a structured environment. Requires assistance in resolving unexpected problems. Commits to flexibility and adaptability to changing work requirements.","Uses basic information systems and technology functions, applications, and processes. Demonstrates an organised approach to work. Learns new skills and applies newly acquired knowledge. Follows code of conduct and organisational standards. Has sufficient communication skills for effective dialogue with colleagues. Contributes to identifying own development opportunities.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(2) Designs, codes, tests, corrects, and documents simple programs, or scripts and assists in the implementation of software which forms part of a properly engineered information or communications system.","N/A","N/A","(1) Executes given test scripts under supervision. Records results and reports issues. Develops an understanding of the role of testing within system development, as a tool for design improvement as well as a validation process.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Software Engineer","Junior","Works under routine direction. Uses minor discretion in resolving problems or enquiries. Works without frequent reference to others.","Interacts with and may influence immediate colleagues. May have some external contact with customers, suppliers and partners. May have more influence in own domain. ","Performs a range of varied work activities in a variety of structured environments. Contributes to routine problem resolution. Commits to flexibility and adaptability to changing work requirements.","Understands and uses appropriate methods, tools and applications. Demonstrates a rational and organised approach to work. Is aware of health and safety issues. Identifies and negotiates own development opportunities. Has sufficient communication skills for effective dialogue with customers, suppliers and partners. Is able to work in a team. Is able to plan, schedule and monitor own work within short time horizons. Absorbs technical information when it is presented systematically and applies it effectively.","(3) Communicates information security risks and issues to business managers and others. Performs basic risk assessments for small information systems. Contributes to vulnerability assessments. Applies and maintains specific security controls as required by organisational policy and local risk assessments. Takes action to respond to security breaches in line with security policy and records the incidents and action taken.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(2) Undertakes complete design of simple applications using simple templates and tools. Assists as part of a team on design of components of larger systems. Produces detailed designs including for example: physical data flows, file layouts, common routines and utilities, program specifications or prototypes, and backup, recovery and restart procedures.","(2) Translates and implements simple development project requirements into physical database structures. Assesses proposed changes to object and data structures and implements these changes in physical databases. Assists in database management system support activities for operational database systems.","(3) Designs, codes, tests, corrects, and documents moderately complex programs and scripts from agreed specifications and subsequent iterations, using agreed standards and tools. Collaborates in reviews of specifications, with others as appropriate.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(2) Defines test conditions for given requirements. Designs test cases and creates test scripts and supporting data, working to the specifications provided. Interprets, executes and records test cases in accordance with project test plans. Analyses and reports test activities and results. Identifies and reports issues and risks.","N/A","(2) Produces software builds from software source code. Conducts tests as defined in an integration test specification, records the details of any failures, and carries out fault diagnosis relating to simple failures, reporting the results of the diagnosis in a clear and concise manner.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Software Engineer","Intermediate","Works under general direction. Uses discretion in identifying and resolving complex problems and assignments. Usually receives specific instructions and has work reviewed at frequent milestones. Determines when issues should be escalated to a higher level.","Interacts with and influences department/project team members. Has working level contact with customers and suppliers. In predictable and structured areas may supervise others. Makes decisions which may impact on the work assigned to individuals or phases of projects. Takes an informal leadership role, such as Scrum Master, or coaching a more junior team member. Contributes effectively in projects or activities outside of the immediate team. Leads streams of work within the team.","Performs a broad range of work, sometimes complex and non routine, in a variety of environments. Applies methodical approach to problem definition and resolution. Demonstrates flexibility, adaptability and focus through day to day work changes and shifting priorities during periods of uncertainty.","Understands and uses appropriate methods, tools and applications. Demonstrates an analytical and systematic approach to problem solving. Takes the initiative in identifying and negotiating appropriate personal development opportunities. Demonstrates effective communication skills. Contributes fully to the work of teams. Plans, schedules and monitors own work (and that of others where applicable) competently within limited deadlines and according to relevant legislation and procedures. Absorbs and applies technical information. Works to required standards. Appreciates the wider field of information systems, and how own role relates to other roles and to the business of the employer or client.","(4) Explains the purpose of and provides advice and guidance on the application and operation of elementary physical, procedural and technical security controls. Performs security risk, vulnerability assessments, and business impact analysis for medium complexity information systems. Investigates suspected attacks and manages security incidents. Uses forensics where appropriate.","N/A","N/A","(4) Maintains awareness of opportunities provided by new technology to address challenges or to enable new ways of working. Within own sphere of influence, works to further organisational goals, by the study and use of emerging technologies and products. Contributes to briefings and presentations about their relevance and potential value to the organisation.","N/A","N/A","N/A","(3) Investigates operational needs and problems, and opportunities, contributing to the recommendation of improvements in automated and non-automated components of new or changed processes and organisation. Assists in defining acceptance tests for these recommendations.","(2) Uses established techniques as directed to identify current problems and elicit, specify and document business functional, data and non-functional requirements for simple subject areas with clearly-defined boundaries. Assists in more complex requirements activities and with the processes for establishing agreed baselines for change and managing the assessment and application of requested changes to those requirements.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(3) Applies data analysis, data modelling, and quality assurance techniques, based upon a detailed understanding of business processes, to establish, modify or maintain data structures and associated components (entity descriptions, relationship descriptions, attribute definitions). Advises database designers and other application development team members on the details of data structures and associated components.","(3) Specifies user/system interfaces, and translates logical designs into physical designs taking account of target environment, performance  security requirements and existing systems. Produces detailed designs and documents all work using required standards, methods and tools, including prototyping tools where appropriate.","(3) Develops specialist knowledge of database concepts, object and data modelling techniques and design principles. Translates object and data models into appropriate database schemas within design constraints. Interprets installation standards to meet project needs and produces database components as required. Evaluates potential solutions, demonstrating, installing and commissioning selected products.","(4) Designs, codes, tests, corrects and documents complex programs and scripts from agreed specifications, and subsequent iterations, using agreed standards and tools, to achieve a well engineered result. Takes part in reviews of own work and leads reviews of colleagues' work.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(3) Reviews requirements and specifications, and defines test conditions. Designs test cases and test scripts under own direction, mapping back to pre-determined criteria, recording and reporting outcomes. Analyses and reports test activities and results. Identifies and reports issues and risks associated with own work.","(3) Identifies and engages with users/ stakeholders, defines relevant characteristics (e.g. “personas”) and describes users goals and tasks (e.g. as “user stories”). Describes the environment within which the system will be used. Identifies and describes requirements of users with special needs (e.g. resulting from physical disabilities).","(3) Defines the integration build and produces a build definition for generation of the software. Accepts software modules from software developers, and produces software builds for loading onto the target hardware from software source code. Configures the hardware environment, produces integration test specifications, conducts tests and records the details of any failures. Carries out and reports fault diagnosis relating to moderately complex problems.","(3) Assists in the configuration of software and equipment and the systems testing of platform-specific versions of one or more software products. Documents faults, implements resolutions and retests to agreed standards.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Software Engineer","Senior","Works under general direction within a clear framework of accountability. Exercises substantial personal responsibility and autonomy. Plans own work to meet given objectives and processes.","Influences team and specialist peers internally. Influences customers at account level and suppliers. Has some responsibility for the work of others and for the allocation of resources. Participates in external activities related to own specialism. Makes decisions which influence the success of projects and team objectives. Takes formal responsibility for projects or initiatives that involve people outside the team, e.g. leading a Guild. Exercises thought leadership in sharing important ideas and concepts and contributing to debate relevant to others across the organisation.","Performs a broad range of complex technical or professional work activities, in a variety of contexts. Investigates, defines and resolves complex problems. Demonstrates flexibility, adaptability and focus through day to day work changes, and shifting priorities during periods of uncertainty. Shows initiative and adapts to a changing environment. Uses experience and knowledge to identify strengths, weaknesses, opportunities, and threats.","Selects appropriately from applicable standards, methods, tools and applications. Demonstrates an analytical and systematic approach to problem solving. Communicates fluently orally and in writing, and can present complex technical information to both technical and non-technical audiences. Facilitates collaboration between stakeholders who share common objectives. Plans, schedules and monitors work to meet time and quality targets and in accordance with relevant legislation and procedures. Rapidly absorbs new technical information and applies it effectively. Has a good appreciation of the wider field of information systems, their use in relevant employment areas and how they relate to the business activities of the employer or client. Maintains an awareness of developing technologies and their application and takes some responsibility for personal development.","(5) Provides advice and guidance on security strategies to manage identified risks and ensure adoption and adherence to standards. Obtains and acts on vulnerability information and conducts security risk assessments, business impact analysis and accreditation on complex information systems. Investigates major breaches of security, and recommends appropriate control improvements. Contributes to development of information security policy, standards and guidelines.","(4) Maintains knowledge of specific specialisms, provides detailed advice regarding their application and executes specialised tasks. The specialism can be any area of information or communication technology, technique, method, product or application area.","N/A","(5) Monitors the market to gain knowledge and understanding of currently emerging technologies. Identifies new and emerging hardware and software technologies and products based on own area of expertise, assesses their relevance and potential value to the organisation, contributes to briefings of staff and management.","(5) Uses appropriate tools, including logical models of components and interfaces, to contribute to the development of systems architectures in specific business or functional areas. Produces detailed component specifications and translates these into detailed designs for implementation using selected products. Within a business change programme, assists in the preparation of technical plans and cooperates with business assurance and project staff to ensure that appropriate technical resources are made available. Provides advice on technical aspects of system development and integration (including requests for changes, deviations from specifications, etc.) and ensures that relevant technical strategies, policies, standards and practices (including security) are applied correctly.","(4) Provides expertise and support on use of methods and tools.","N/A","(4) Investigates operational requirements, problems, and opportunities, seeking effective business solutions through improvements in automated and non-automated components of new or changed processes. Assists in the analysis of stakeholder objectives, and the underlying issues arising from investigations into business requirements and problems, and identifies options for consideration. Works iteratively with stakeholders, to identify potential benefits and available options for consideration, and in defining acceptance tests.","(3) Defines scope and business priorities for small-scale changes and may assist in larger scale scoping exercises. Elicits and discovers requirements from operational management and other stakeholders. Selects appropriate techniques for the elicitation of detailed requirements taking into account the nature of the required changes, established practice and the characteristics and culture of those providing the requirements. Specifies and documents business requirements as directed, ensuring traceability back to source. Analyses them for adherence to business objectives and for consistency, challenging positively as appropriate. Works with stakeholders to prioritise requirements.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(4) Investigates corporate data requirements, and applies data analysis, data modelling and quality assurance techniques, to establish, modify or maintain data structures and their associated components (entity descriptions, relationship descriptions, attribute definitions). Provides advice and guidance to database designers and others using the data structures and associated components.","(4) Recommends/designs structures and tools for systems which meet business needs and takes into account target environment, performance  security requirements and existing systems. Delivers technical visualisation of proposed applications for approval by customer and execution by system developers. Translates logical designs into physical designs, and produces detailed design documentation. Maps work to user specification and removes errors and deviations from specification to achieve user-friendly processes.","(4) Develops and maintains specialist knowledge of database concepts, object and data modelling techniques and design principles and a detailed knowledge of database architectures, software and facilities. Analyses data requirements to establish, modify or maintain object/data models. Evaluates potential solutions, demonstrating, installing and commissioning selected products.","(5) Sets local or team-based standards for programming tools and techniques, including security guidelines, and the selection of appropriate development methods. Advises on application of standards and methods and ensures compliance. Takes technical responsibility for all stages and/or iterations in a software development project, providing method specific technical advice and guidance to project stakeholders. Assigns work packages, monitors performance and manages change control dynamically, to optimise productivity. Provides advice, guidance and assistance to less experienced colleagues as required.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(4) Accepts responsibility for creation of test cases using own in-depth technical analysis of both functional and non-functional specifications (such as reliability, efficiency, usability, maintainability and portability). Creates traceability records, from test cases back to requirements. Produces test scripts, materials and regression test packs to test new and amended software or services. Specifies requirements for environment, data, resources and tools. Interprets, executes and documents complex test scripts using agreed methods and standards. Records and analyses actions and results, and maintains a defect register. Reviews test results and modifies tests if necessary. Provides reports on progress, anomalies, risks and issues associated with the overall project. Reports on system quality and collects metrics on test cases. Provides specialist advice to support others.","(4) Analyses qualitative data (e.g. from site visits) and presents the data in ways that can be used to drive design (e.g. personas, red routes, user journey maps). Describes the user/ stakeholder objectives for the system, and identifies the roles of affected stakeholder groups. Defines the required behaviour and performance of the system in terms of the total use experience (e.g. in the form of scenarios of use), resolving potential conflicts between user requirements, (e.g. between accuracy and speed).Specifies measurable criteria for the required usability of the system.","(4) Defines the integration build, accepts software modules from software developers, and produces software builds for loading onto the target environment. Configures the hardware environment, produces integration test specifications, and conducts tests, recording details of any failures and carrying out fault diagnosis.","(4) Configures software and equipment and tests platform-specific versions of one or more software products. Reports the outcome of testing and identifies potential improvements to the process and to the software products according to agreed designs and standards.","N/A","N/A","N/A","N/A","N/A","(3) Uses appropriate methods and tools in the development, maintenance, control and distribution of quality and environmental standards. Makes technical changes to quality and environmental standards according to documented procedures. Distributes new and revised standards.","(3) Controls, updates and distributes new and revised quality standards.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Software Engineer","Principal","Works under broad direction. Work is often self-initiated. Is fully accountable for meeting allocated technical and/or project/supervisory objectives. Establishes milestones and has a significant role in the delegation of responsibilities.","Influences organisation, customers, suppliers, partners and peers on the contribution of own specialism. Builds appropriate and effective business relationships. Makes decisions which impact the success of assigned projects i.e. results, deadlines and budget. Has significant influence over the allocation and management of resources appropriate to given assignments. Takes formal accountability for projects or initiatives that have a significant impact on the success of the business, e.g. for a key part of the application architecture or a major process reengineering. Provides thought leadership by initiating and leading debate relevant to the organisation. Takes responsibility for forming and maintaining successful teams. Remains calm and collected in times of pressure and crisis.","Performs an extensive range and variety of complex technical and/or professional work activities. Undertakes work which requires the application of fundamental principles in a wide and often unpredictable range of contexts. Understands the relationship between own specialism and wider customer/organisational requirements. Demonstrates flexibility, adaptability and focus through day to day work changes, and shifting priorities during periods of uncertainty. Evaluates progress and outcomes in a realistic and comprehensive way, and acts on results. Is committed, active and focussed on work outcomes, even in uncertain or difficult circumstances. Shows initiative and innovation in response to a changing environment. Uses experience and knowledge to identify strengths, weaknesses, opportunities, and threats.","Advises on the available standards, methods, tools and applications relevant to own specialism and can make appropriate choices from alternatives. Analyses, designs, plans, executes and evaluates work to time, cost and quality targets. Assesses and evaluates risk. Communicates effectively, both formally and informally. Demonstrates leadership. Facilitates collaboration between stakeholders who have diverse objectives. Understands the relevance of own area of responsibility/specialism to the employing organisation. Takes customer requirements into account when making proposals. Takes initiative to keep skills up to date. Mentors colleagues. Maintains an awareness of developments in the industry. Analyses requirements and advises on scope and options for continuous operational improvement. Demonstrates creativity and innovation in applying solutions for the benefit of the customer/stakeholder. Takes account of relevant legislation.","(5) Provides advice and guidance on security strategies to manage identified risks and ensure adoption and adherence to standards. Obtains and acts on vulnerability information and conducts security risk assessments, business impact analysis and accreditation on complex information systems. Investigates major breaches of security, and recommends appropriate control improvements. Contributes to development of information security policy, standards and guidelines.","(5) Maintains an in-depth knowledge of specific specialisms, and provides expert advice regarding their application. Can supervise specialist consultancy. The specialism can be any aspect of information or communication technology, technique, method, product or application area.","(6) Recognises potential strategic application of information technology capabilities. Initiates and manages investigation and development of innovative methods, practices and technology, to the benefit of organisations and the community. Plays an active and dynamic role in improving the interface between all interested parties, facilitating knowledge flow to enable sharing and development of creative ideas.","(6) Co-ordinates the identification and assessment of new and emerging hardware, software and communication technologies, products, methods and techniques. Evaluates likely relevance of these for the organisation. Provides regular briefings to staff and management.","(6) Leads the development of architectures for complex systems, ensuring consistency with specified requirements agreed with both external, and internal customers. Takes full responsibility for the balance between functional, service quality and systems management requirements within a significant area of the organisation. Establishes policy and strategy for the selection of systems architecture components, and co-ordinates design activities, promoting the discipline to ensure consistency. Ensures that appropriate standards (corporate, industry, national and international) are adhered to. Within a business change programme, manages the target design, policies and standards, working proactively to maintain a stable, viable architecture and ensure consistency of design across projects within the programme.","(5) Promotes and ensures use of appropriate techniques, methodologies and tools.","N/A","(4) Investigates operational requirements, problems, and opportunities, seeking effective business solutions through improvements in automated and non-automated components of new or changed processes. Assists in the analysis of stakeholder objectives, and the underlying issues arising from investigations into business requirements and problems, and identifies options for consideration. Works iteratively with stakeholders, to identify potential benefits and available options for consideration, and in defining acceptance tests.","(3) Defines scope and business priorities for small-scale changes and may assist in larger scale scoping exercises. Elicits and discovers requirements from operational management and other stakeholders. Selects appropriate techniques for the elicitation of detailed requirements taking into account the nature of the required changes, established practice and the characteristics and culture of those providing the requirements. Specifies and documents business requirements as directed, ensuring traceability back to source. Analyses them for adherence to business objectives and for consistency, challenging positively as appropriate. Works with stakeholders to prioritise requirements.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(4) Investigates corporate data requirements, and applies data analysis, data modelling and quality assurance techniques, to establish, modify or maintain data structures and their associated components (entity descriptions, relationship descriptions, attribute definitions). Provides advice and guidance to database designers and others using the data structures and associated components.","(5) Specifies and designs large or complex systems. Selects appropriate design standards, methods and tools, consistent with agreed enterprise and solution architectures and ensures they are applied effectively. Reviews others' systems designs to ensure selection of appropriate technology, efficient use of resources, and integration of multiple systems and technology. Contributes to policy for selection of architecture components. Evaluates and undertakes impact analysis on major design options and assesses and manages associated risks. Ensures that the system design balances functional, service quality, security and systems management requirements.","(5) Maintains and applies up to date, specialist knowledge of database concepts, object and data modelling techniques and design principles, and a detailed knowledge of the full range of database architectures, software and facilities available. Analyses data requirements, to establish, modify or maintain a data model. Takes account of specialist requirements (e.g. geocoding, for geographic information systems). Interprets the model into an appropriate database schema within set policies. Demonstrates, installs and commissions selected products.","(5) Sets local or team-based standards for programming tools and techniques, including security guidelines, and the selection of appropriate development methods. Advises on application of standards and methods and ensures compliance. Takes technical responsibility for all stages and/or iterations in a software development project, providing method specific technical advice and guidance to project stakeholders. Assigns work packages, monitors performance and manages change control dynamically, to optimise productivity. Provides advice, guidance and assistance to less experienced colleagues as required.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(4) Accepts responsibility for creation of test cases using own in-depth technical analysis of both functional and non-functional specifications (such as reliability, efficiency, usability, maintainability and portability). Creates traceability records, from test cases back to requirements. Produces test scripts, materials and regression test packs to test new and amended software or services. Specifies requirements for environment, data, resources and tools. Interprets, executes and documents complex test scripts using agreed methods and standards. Records and analyses actions and results, and maintains a defect register. Reviews test results and modifies tests if necessary. Provides reports on progress, anomalies, risks and issues associated with the overall project. Reports on system quality and collects metrics on test cases. Provides specialist advice to support others.","(4) Analyses qualitative data (e.g. from site visits) and presents the data in ways that can be used to drive design (e.g. personas, red routes, user journey maps). Describes the user/ stakeholder objectives for the system, and identifies the roles of affected stakeholder groups. Defines the required behaviour and performance of the system in terms of the total use experience (e.g. in the form of scenarios of use), resolving potential conflicts between user requirements, (e.g. between accuracy and speed).Specifies measurable criteria for the required usability of the system.","(5) Designs and builds integration components and interfaces. Leads practical integration work under the technical direction of the system /service designer. May contribute to the overall design of the service. May define the technical criteria for product/component selection. Contributes to decisions about tools, methods and approaches.","(5) Leads a team, providing expert technical knowledge in the systems testing of platform-specific versions of the software products, on varying platforms. Provides specialist guidance information to support, systems testing and quality assurance functions to assist in improving procedures.","N/A","N/A","(3) Uses database management system software and tools to collect agreed performance statistics. Carries out agreed database maintenance and administration tasks.","N/A","N/A","(4) Investigates and documents the internal control of specified aspects of automated or partly automated processes, and assesses compliance with the relevant standard.","(4) Controls, updates and distributes new and revised quality standards, including technical changes.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(3) Provides customer service, including technical advice and guidance on all matters bearing on the successful use of complex products and services. Helps customers to clarify their requirements; documents the conclusions reached, and contributes to preparing and supporting bids and sales proposals.","N/A","N/A","N/A"
"Engineering Team Leader","Senior","Works under general direction within a clear framework of accountability. Exercises substantial personal responsibility and autonomy. Plans own work to meet given objectives and processes.","Influences team and specialist peers internally. Influences customers at account level and suppliers. Has some responsibility for the work of others and for the allocation of resources. Participates in external activities related to own specialism. Makes decisions which influence the success of projects and team objectives. Takes formal responsibility for projects or initiatives that involve people outside the team, e.g. leading a Guild. Exercises thought leadership in sharing important ideas and concepts and contributing to debate relevant to others across the organisation.","Performs a broad range of complex technical or professional work activities, in a variety of contexts. Investigates, defines and resolves complex problems. Demonstrates flexibility, adaptability and focus through day to day work changes, and shifting priorities during periods of uncertainty. Shows initiative and adapts to a changing environment. Uses experience and knowledge to identify strengths, weaknesses, opportunities, and threats.","Selects appropriately from applicable standards, methods, tools and applications. Demonstrates an analytical and systematic approach to problem solving. Communicates fluently orally and in writing, and can present complex technical information to both technical and non-technical audiences. Facilitates collaboration between stakeholders who share common objectives. Plans, schedules and monitors work to meet time and quality targets and in accordance with relevant legislation and procedures. Rapidly absorbs new technical information and applies it effectively. Has a good appreciation of the wider field of information systems, their use in relevant employment areas and how they relate to the business activities of the employer or client. Maintains an awareness of developing technologies and their application and takes some responsibility for personal development.","(4) Explains the purpose of and provides advice and guidance on the application and operation of elementary physical, procedural and technical security controls. Performs security risk, vulnerability assessments, and business impact analysis for medium complexity information systems. Investigates suspected attacks and manages security incidents. Uses forensics where appropriate.","(4) Maintains knowledge of specific specialisms, provides detailed advice regarding their application and executes specialised tasks. The specialism can be any area of information or communication technology, technique, method, product or application area.","N/A","N/A","N/A","(4) Provides expertise and support on use of methods and tools.","(4) Defines, documents and carries out small projects or sub-projects (typically less than six months, with  limited budget, limited interdependency with other projects, and no significant strategic impact), alone or with a small team, actively participating in all phases. Identifies, assesses and manages risks to the success of the project. Agrees project approach with stakeholders, and prepares realistic plans (including quality, risk and communications plans) and tracks activities against the project schedule, managing stakeholder involvement as appropriate. Monitors costs, timescales and resources used, and takes action where these deviate from agreed tolerances. Ensures that own projects are formally closed and, where appropriate, subsequently reviewed, and that lessons learned are recorded.","(3) Investigates operational needs and problems, and opportunities, contributing to the recommendation of improvements in automated and non-automated components of new or changed processes and organisation. Assists in defining acceptance tests for these recommendations.","(2) Uses established techniques as directed to identify current problems and elicit, specify and document business functional, data and non-functional requirements for simple subject areas with clearly-defined boundaries. Assists in more complex requirements activities and with the processes for establishing agreed baselines for change and managing the assessment and application of requested changes to those requirements.","N/A","N/A","(4) Implements stakeholder engagement/ communications plans, including, for example; handling of complaints; problems and issues; managing resolutions; corrective actions and lessons learned; collection and dissemination of relevant information. Uses feedback from customers and stakeholders to help measure effectiveness of stakeholder management. Helps develop and enhance customer and stakeholder relationships.","(4) Contributes to the development and maintenance of a catalogue of learning and development resources. Books and organises learning events. Updates and controls training records, including attainment of certificates and accreditations.","(4) Performs routine and non-routine assessments of knowledge, skills and behaviour using specified methods and according to specified standards. Gathers inputs for the analysis and evaluation of learning programmes.","N/A","N/A","(3) Applies data analysis, data modelling, and quality assurance techniques, based upon a detailed understanding of business processes, to establish, modify or maintain data structures and associated components (entity descriptions, relationship descriptions, attribute definitions). Advises database designers and other application development team members on the details of data structures and associated components.","(3) Specifies user/system interfaces, and translates logical designs into physical designs taking account of target environment, performance  security requirements and existing systems. Produces detailed designs and documents all work using required standards, methods and tools, including prototyping tools where appropriate.","(3) Develops specialist knowledge of database concepts, object and data modelling techniques and design principles. Translates object and data models into appropriate database schemas within design constraints. Interprets installation standards to meet project needs and produces database components as required. Evaluates potential solutions, demonstrating, installing and commissioning selected products.","(4) Designs, codes, tests, corrects and documents complex programs and scripts from agreed specifications, and subsequent iterations, using agreed standards and tools, to achieve a well engineered result. Takes part in reviews of own work and leads reviews of colleagues' work.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(4) Accepts responsibility for creation of test cases using own in-depth technical analysis of both functional and non-functional specifications (such as reliability, efficiency, usability, maintainability and portability). Creates traceability records, from test cases back to requirements. Produces test scripts, materials and regression test packs to test new and amended software or services. Specifies requirements for environment, data, resources and tools. Interprets, executes and documents complex test scripts using agreed methods and standards. Records and analyses actions and results, and maintains a defect register. Reviews test results and modifies tests if necessary. Provides reports on progress, anomalies, risks and issues associated with the overall project. Reports on system quality and collects metrics on test cases. Provides specialist advice to support others.","(4) Analyses qualitative data (e.g. from site visits) and presents the data in ways that can be used to drive design (e.g. personas, red routes, user journey maps). Describes the user/ stakeholder objectives for the system, and identifies the roles of affected stakeholder groups. Defines the required behaviour and performance of the system in terms of the total use experience (e.g. in the form of scenarios of use), resolving potential conflicts between user requirements, (e.g. between accuracy and speed).Specifies measurable criteria for the required usability of the system.","N/A","(3) Assists in the configuration of software and equipment and the systems testing of platform-specific versions of one or more software products. Documents faults, implements resolutions and retests to agreed standards.","N/A","N/A","N/A","N/A","N/A","(4) Investigates and documents the internal control of specified aspects of automated or partly automated processes, and assesses compliance with the relevant standard.","(4) Controls, updates and distributes new and revised quality standards, including technical changes.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(4) Supervises individuals and teams. Allocates routine tasks and/or project work. Provides direction, support and guidance as necessary, in line with individuals’ skills and abilities. Monitors progress against agreed quality and performance criteria. Acts to facilitate effective working relationships between team members.","(3) Prepares pre-qualification questionnaires and tender invitations in response to business cases. Recognises the difference between open source and proprietary systems options. Produces detailed evaluation criteria for more complex tenders and assists in evaluation of tenders. Acts as the routine contact point between organisation and supplier. Collects and reports on supplier performance data."
