"Role","Level","Autonomy","Influence","Complexity","Business skills","Information security","Technical specialism","Innovation","Emerging technology monitoring","Solution architecture","Methods and tools","Project management","Business analysis","Requirements definition and management","Organisation design and implementation","Benefits management","Relationship management","Learning and development management","Learning and development assessment and evaluation","Professional development","Systems development management","Data analysis","Systems design","Database design","Programming/software development","Safety engineering","Information content authoring","Testing","User experience analysis","Systems integration","Porting/software configuration","Data management","Resourcing","Database administration","Contract management","Quality management","Quality assurance","Quality standards","Conformance review","Consultancy","Service level management","Configuration management","Asset management","Applications support","Network support","Problem management","Incident management","Customer service support","Sales support","User experience evaluation","Performance management","Sourcing","Information content publishing","User experience design","Portfolio management","Programme management"
"Software Engineer","Graduate","Works under supervision. Uses little discretion. Is expected to seek guidance in unexpected situations.","Interacts with immediate colleagues. ","Performs routine activities in a structured environment. Requires assistance in resolving unexpected problems. Commits to flexibility and adaptability to changing work requirements.","Uses basic information systems and technology functions, applications, and processes. Demonstrates an organised approach to work. Learns new skills and applies newly acquired knowledge. Follows code of conduct and organisational standards. Has sufficient communication skills for effective dialogue with colleagues. Contributes to identifying own development opportunities.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(2) Designs, codes, tests, corrects, and documents simple programs, or scripts and assists in the implementation of software which forms part of a properly engineered information or communications system.","N/A","N/A","(1) Executes given test scripts under supervision. Records results and reports issues. Develops an understanding of the role of testing within system development, as a tool for design improvement as well as a validation process.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(1) Contributes, under instruction, to publication support activities and supports the collation of data. Takes source material in various proprietary formats and uses the publishing process to create content according to appropriate guidelines.","N/A","N/A","N/A"
"Software Engineer","Junior","Works under routine direction. Uses minor discretion in resolving problems or enquiries. Works without frequent reference to others.","Interacts with and may influence immediate colleagues. May have some external contact with customers, suppliers and partners. May have more influence in own domain. ","Performs a range of varied work activities in a variety of structured environments. Contributes to routine problem resolution. Commits to flexibility and adaptability to changing work requirements.","Understands and uses appropriate methods, tools and applications. Demonstrates a rational and organised approach to work. Is aware of health and safety issues. Identifies and negotiates own development opportunities. Has sufficient communication skills for effective dialogue with customers, suppliers and partners. Is able to work in a team. Is able to plan, schedule and monitor own work within short time horizons. Absorbs technical information when it is presented systematically and applies it effectively.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(3) Designs, codes, tests, corrects, and documents moderately complex programs and scripts from agreed specifications and subsequent iterations, using agreed standards and tools. Collaborates in reviews of specifications, with others as appropriate.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(2) Defines test conditions for given requirements. Designs test cases and creates test scripts and supporting data, working to the specifications provided. Interprets, executes and records test cases in accordance with project test plans. Analyses and reports test activities and results. Identifies and reports issues and risks.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(1) Contributes, under instruction, to publication support activities and supports the collation of data. Takes source material in various proprietary formats and uses the publishing process to create content according to appropriate guidelines.","N/A","N/A","N/A"
"Software Engineer","Intermediate","Works under general direction. Uses discretion in identifying and resolving complex problems and assignments. Usually receives specific instructions and has work reviewed at frequent milestones. Determines when issues should be escalated to a higher level.","Interacts with and influences department/project team members. Has working level contact with customers and suppliers. In predictable and structured areas may supervise others. Makes decisions which may impact on the work assigned to individuals or phases of projects. Takes an informal leadership role, such as Scrum Master, or coaching a more junior team member. Contributes effectively in projects or activities outside of the immediate team. Leads streams of work within the team.","Performs a broad range of work, sometimes complex and non routine, in a variety of environments. Applies methodical approach to problem definition and resolution. Demonstrates flexibility, adaptability and focus through day to day work changes and shifting priorities during periods of uncertainty.","Understands and uses appropriate methods, tools and applications. Demonstrates an analytical and systematic approach to problem solving. Takes the initiative in identifying and negotiating appropriate personal development opportunities. Demonstrates effective communication skills. Contributes fully to the work of teams. Plans, schedules and monitors own work (and that of others where applicable) competently within limited deadlines and according to relevant legislation and procedures. Absorbs and applies technical information. Works to required standards. Appreciates the wider field of information systems, and how own role relates to other roles and to the business of the employer or client.","N/A","N/A","N/A","(4) Maintains awareness of opportunities provided by new technology to address challenges or to enable new ways of working. Within own sphere of influence, works to further organisational goals, by the study and use of emerging technologies and products. Contributes to briefings and presentations about their relevance and potential value to the organisation.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(2) Applies data analysis and data modelling techniques to establish, modify or maintain a data structure and its associated components (entity descriptions, relationship descriptions, attribute definitions).","(2) Undertakes complete design of simple applications using simple templates and tools. Assists as part of a team on design of components of larger systems. Produces detailed designs including for example: physical data flows, file layouts, common routines and utilities, program specifications or prototypes, and backup, recovery and restart procedures.","N/A","(4) Designs, codes, tests, corrects and documents complex programs and scripts from agreed specifications, and subsequent iterations, using agreed standards and tools, to achieve a well engineered result. Takes part in reviews of own work and leads reviews of colleagues' work.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(3) Reviews requirements and specifications, and defines test conditions. Designs test cases and test scripts under own direction, mapping back to pre-determined criteria, recording and reporting outcomes. Analyses and reports test activities and results. Identifies and reports issues and risks associated with own work.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(1) Contributes, under instruction, to publication support activities and supports the collation of data. Takes source material in various proprietary formats and uses the publishing process to create content according to appropriate guidelines.","N/A","N/A","N/A"
"Software Engineer","Senior","Works under general direction within a clear framework of accountability. Exercises substantial personal responsibility and autonomy. Plans own work to meet given objectives and processes.","Influences team and specialist peers internally. Influences customers at account level and suppliers. Has some responsibility for the work of others and for the allocation of resources. Participates in external activities related to own specialism. Makes decisions which influence the success of projects and team objectives. Takes formal responsibility for projects or initiatives that involve people outside the team, e.g. leading a Guild. Exercises thought leadership in sharing important ideas and concepts and contributing to debate relevant to others across the organisation.","Performs a broad range of complex technical or professional work activities, in a variety of contexts. Investigates, defines and resolves complex problems. Demonstrates flexibility, adaptability and focus through day to day work changes, and shifting priorities during periods of uncertainty. Shows initiative and adapts to a changing environment. Uses experience and knowledge to identify strengths, weaknesses, opportunities, and threats.","Selects appropriately from applicable standards, methods, tools and applications. Demonstrates an analytical and systematic approach to problem solving. Communicates fluently orally and in writing, and can present complex technical information to both technical and non-technical audiences. Facilitates collaboration between stakeholders who share common objectives. Plans, schedules and monitors work to meet time and quality targets and in accordance with relevant legislation and procedures. Rapidly absorbs new technical information and applies it effectively. Has a good appreciation of the wider field of information systems, their use in relevant employment areas and how they relate to the business activities of the employer or client. Maintains an awareness of developing technologies and their application and takes some responsibility for personal development.","N/A","(4) Maintains knowledge of specific specialisms, provides detailed advice regarding their application and executes specialised tasks. The specialism can be any area of information or communication technology, technique, method, product or application area.","N/A","(5) Monitors the market to gain knowledge and understanding of currently emerging technologies. Identifies new and emerging hardware and software technologies and products based on own area of expertise, assesses their relevance and potential value to the organisation, contributes to briefings of staff and management.","N/A","(4) Provides expertise and support on use of methods and tools.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(3) Applies data analysis, data modelling, and quality assurance techniques, based upon a detailed understanding of business processes, to establish, modify or maintain data structures and associated components (entity descriptions, relationship descriptions, attribute definitions). Advises database designers and other application development team members on the details of data structures and associated components.","(3) Specifies user/system interfaces, and translates logical designs into physical designs taking account of target environment, performance  security requirements and existing systems. Produces detailed designs and documents all work using required standards, methods and tools, including prototyping tools where appropriate.","N/A","(5) Sets local or team-based standards for programming tools and techniques, including security guidelines, and the selection of appropriate development methods. Advises on application of standards and methods and ensures compliance. Takes technical responsibility for all stages and/or iterations in a software development project, providing method specific technical advice and guidance to project stakeholders. Assigns work packages, monitors performance and manages change control dynamically, to optimise productivity. Provides advice, guidance and assistance to less experienced colleagues as required.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(4) Accepts responsibility for creation of test cases using own in-depth technical analysis of both functional and non-functional specifications (such as reliability, efficiency, usability, maintainability and portability). Creates traceability records, from test cases back to requirements. Produces test scripts, materials and regression test packs to test new and amended software or services. Specifies requirements for environment, data, resources and tools. Interprets, executes and documents complex test scripts using agreed methods and standards. Records and analyses actions and results, and maintains a defect register. Reviews test results and modifies tests if necessary. Provides reports on progress, anomalies, risks and issues associated with the overall project. Reports on system quality and collects metrics on test cases. Provides specialist advice to support others.","(3) Identifies and engages with users/ stakeholders, defines relevant characteristics (e.g. “personas”) and describes users goals and tasks (e.g. as “user stories”). Describes the environment within which the system will be used. Identifies and describes requirements of users with special needs (e.g. resulting from physical disabilities).","N/A","N/A","N/A","N/A","(3) Uses database management system software and tools to collect agreed performance statistics. Carries out agreed database maintenance and administration tasks.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(1) Contributes, under instruction, to publication support activities and supports the collation of data. Takes source material in various proprietary formats and uses the publishing process to create content according to appropriate guidelines.","N/A","N/A","N/A"
"Software Engineer","Principal","Works under broad direction. Work is often self-initiated. Is fully accountable for meeting allocated technical and/or project/supervisory objectives. Establishes milestones and has a significant role in the delegation of responsibilities.","Influences organisation, customers, suppliers, partners and peers on the contribution of own specialism. Builds appropriate and effective business relationships. Makes decisions which impact the success of assigned projects i.e. results, deadlines and budget. Has significant influence over the allocation and management of resources appropriate to given assignments. Takes formal accountability for projects or initiatives that have a significant impact on the success of the business, e.g. for a key part of the application architecture or a major process reengineering. Provides thought leadership by initiating and leading debate relevant to the organisation. Takes responsibility for forming and maintaining successful teams. Remains calm and collected in times of pressure and crisis.","Performs an extensive range and variety of complex technical and/or professional work activities. Undertakes work which requires the application of fundamental principles in a wide and often unpredictable range of contexts. Understands the relationship between own specialism and wider customer/organisational requirements. Demonstrates flexibility, adaptability and focus through day to day work changes, and shifting priorities during periods of uncertainty. Evaluates progress and outcomes in a realistic and comprehensive way, and acts on results. Is committed, active and focussed on work outcomes, even in uncertain or difficult circumstances. Shows initiative and innovation in response to a changing environment. Uses experience and knowledge to identify strengths, weaknesses, opportunities, and threats.","Advises on the available standards, methods, tools and applications relevant to own specialism and can make appropriate choices from alternatives. Analyses, designs, plans, executes and evaluates work to time, cost and quality targets. Assesses and evaluates risk. Communicates effectively, both formally and informally. Demonstrates leadership. Facilitates collaboration between stakeholders who have diverse objectives. Understands the relevance of own area of responsibility/specialism to the employing organisation. Takes customer requirements into account when making proposals. Takes initiative to keep skills up to date. Mentors colleagues. Maintains an awareness of developments in the industry. Analyses requirements and advises on scope and options for continuous operational improvement. Demonstrates creativity and innovation in applying solutions for the benefit of the customer/stakeholder. Takes account of relevant legislation.","N/A","(5) Maintains an in-depth knowledge of specific specialisms, and provides expert advice regarding their application. Can supervise specialist consultancy. The specialism can be any aspect of information or communication technology, technique, method, product or application area.","(6) Recognises potential strategic application of information technology capabilities. Initiates and manages investigation and development of innovative methods, practices and technology, to the benefit of organisations and the community. Plays an active and dynamic role in improving the interface between all interested parties, facilitating knowledge flow to enable sharing and development of creative ideas.","(6) Co-ordinates the identification and assessment of new and emerging hardware, software and communication technologies, products, methods and techniques. Evaluates likely relevance of these for the organisation. Provides regular briefings to staff and management.","(5) Uses appropriate tools, including logical models of components and interfaces, to contribute to the development of systems architectures in specific business or functional areas. Produces detailed component specifications and translates these into detailed designs for implementation using selected products. Within a business change programme, assists in the preparation of technical plans and cooperates with business assurance and project staff to ensure that appropriate technical resources are made available. Provides advice on technical aspects of system development and integration (including requests for changes, deviations from specifications, etc.) and ensures that relevant technical strategies, policies, standards and practices (including security) are applied correctly.","(5) Promotes and ensures use of appropriate techniques, methodologies and tools.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(3) Applies data analysis, data modelling, and quality assurance techniques, based upon a detailed understanding of business processes, to establish, modify or maintain data structures and associated components (entity descriptions, relationship descriptions, attribute definitions). Advises database designers and other application development team members on the details of data structures and associated components.","(4) Recommends/designs structures and tools for systems which meet business needs and takes into account target environment, performance  security requirements and existing systems. Delivers technical visualisation of proposed applications for approval by customer and execution by system developers. Translates logical designs into physical designs, and produces detailed design documentation. Maps work to user specification and removes errors and deviations from specification to achieve user-friendly processes.","N/A","(5) Sets local or team-based standards for programming tools and techniques, including security guidelines, and the selection of appropriate development methods. Advises on application of standards and methods and ensures compliance. Takes technical responsibility for all stages and/or iterations in a software development project, providing method specific technical advice and guidance to project stakeholders. Assigns work packages, monitors performance and manages change control dynamically, to optimise productivity. Provides advice, guidance and assistance to less experienced colleagues as required.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(4) Accepts responsibility for creation of test cases using own in-depth technical analysis of both functional and non-functional specifications (such as reliability, efficiency, usability, maintainability and portability). Creates traceability records, from test cases back to requirements. Produces test scripts, materials and regression test packs to test new and amended software or services. Specifies requirements for environment, data, resources and tools. Interprets, executes and documents complex test scripts using agreed methods and standards. Records and analyses actions and results, and maintains a defect register. Reviews test results and modifies tests if necessary. Provides reports on progress, anomalies, risks and issues associated with the overall project. Reports on system quality and collects metrics on test cases. Provides specialist advice to support others.","(3) Identifies and engages with users/ stakeholders, defines relevant characteristics (e.g. “personas”) and describes users goals and tasks (e.g. as “user stories”). Describes the environment within which the system will be used. Identifies and describes requirements of users with special needs (e.g. resulting from physical disabilities).","N/A","N/A","N/A","N/A","(3) Uses database management system software and tools to collect agreed performance statistics. Carries out agreed database maintenance and administration tasks.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(1) Contributes, under instruction, to publication support activities and supports the collation of data. Takes source material in various proprietary formats and uses the publishing process to create content according to appropriate guidelines.","N/A","N/A","N/A"
"Engineering Team Leader","Senior","Works under general direction within a clear framework of accountability. Exercises substantial personal responsibility and autonomy. Plans own work to meet given objectives and processes.","Influences team and specialist peers internally. Influences customers at account level and suppliers. Has some responsibility for the work of others and for the allocation of resources. Participates in external activities related to own specialism. Makes decisions which influence the success of projects and team objectives. Takes formal responsibility for projects or initiatives that involve people outside the team, e.g. leading a Guild. Exercises thought leadership in sharing important ideas and concepts and contributing to debate relevant to others across the organisation.","Performs a broad range of complex technical or professional work activities, in a variety of contexts. Investigates, defines and resolves complex problems. Demonstrates flexibility, adaptability and focus through day to day work changes, and shifting priorities during periods of uncertainty. Shows initiative and adapts to a changing environment. Uses experience and knowledge to identify strengths, weaknesses, opportunities, and threats.","Selects appropriately from applicable standards, methods, tools and applications. Demonstrates an analytical and systematic approach to problem solving. Communicates fluently orally and in writing, and can present complex technical information to both technical and non-technical audiences. Facilitates collaboration between stakeholders who share common objectives. Plans, schedules and monitors work to meet time and quality targets and in accordance with relevant legislation and procedures. Rapidly absorbs new technical information and applies it effectively. Has a good appreciation of the wider field of information systems, their use in relevant employment areas and how they relate to the business activities of the employer or client. Maintains an awareness of developing technologies and their application and takes some responsibility for personal development.","(3) Communicates information security risks and issues to business managers and others. Performs basic risk assessments for small information systems. Contributes to vulnerability assessments. Applies and maintains specific security controls as required by organisational policy and local risk assessments. Takes action to respond to security breaches in line with security policy and records the incidents and action taken.","N/A","N/A","N/A","N/A","(4) Provides expertise and support on use of methods and tools.","(4) Defines, documents and carries out small projects or sub-projects (typically less than six months, with  limited budget, limited interdependency with other projects, and no significant strategic impact), alone or with a small team, actively participating in all phases. Identifies, assesses and manages risks to the success of the project. Agrees project approach with stakeholders, and prepares realistic plans (including quality, risk and communications plans) and tracks activities against the project schedule, managing stakeholder involvement as appropriate. Monitors costs, timescales and resources used, and takes action where these deviate from agreed tolerances. Ensures that own projects are formally closed and, where appropriate, subsequently reviewed, and that lessons learned are recorded.","N/A","N/A","N/A","N/A","(4) Implements stakeholder engagement/ communications plans, including, for example; handling of complaints; problems and issues; managing resolutions; corrective actions and lessons learned; collection and dissemination of relevant information. Uses feedback from customers and stakeholders to help measure effectiveness of stakeholder management. Helps develop and enhance customer and stakeholder relationships.","(4) Contributes to the development and maintenance of a catalogue of learning and development resources. Books and organises learning events. Updates and controls training records, including attainment of certificates and accreditations.","(3) Performs routine assessments of knowledge and experience using specified methods and according to specified standards.","N/A","N/A","N/A","(3) Specifies user/system interfaces, and translates logical designs into physical designs taking account of target environment, performance  security requirements and existing systems. Produces detailed designs and documents all work using required standards, methods and tools, including prototyping tools where appropriate.","N/A","(4) Designs, codes, tests, corrects and documents complex programs and scripts from agreed specifications, and subsequent iterations, using agreed standards and tools, to achieve a well engineered result. Takes part in reviews of own work and leads reviews of colleagues' work.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(4) Accepts responsibility for creation of test cases using own in-depth technical analysis of both functional and non-functional specifications (such as reliability, efficiency, usability, maintainability and portability). Creates traceability records, from test cases back to requirements. Produces test scripts, materials and regression test packs to test new and amended software or services. Specifies requirements for environment, data, resources and tools. Interprets, executes and documents complex test scripts using agreed methods and standards. Records and analyses actions and results, and maintains a defect register. Reviews test results and modifies tests if necessary. Provides reports on progress, anomalies, risks and issues associated with the overall project. Reports on system quality and collects metrics on test cases. Provides specialist advice to support others.","N/A","N/A","(3) Assists in the configuration of software and equipment and the systems testing of platform-specific versions of one or more software products. Documents faults, implements resolutions and retests to agreed standards.","N/A","(4) Implements resource plans, including conducting recruitment interviews. Facilitates selection, assessment and on-boarding processes, and internal resource allocation. Contributes to transitioning of resources, complying with relevant statutory or external regulations and codes of good practice.","N/A","N/A","N/A","N/A","(3) Controls, updates and distributes new and revised quality standards.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(4) Supervises individuals and teams. Allocates routine tasks and/or project work. Provides direction, support and guidance as necessary, in line with individuals’ skills and abilities. Monitors progress against agreed quality and performance criteria. Acts to facilitate effective working relationships between team members.","(3) Prepares pre-qualification questionnaires and tender invitations in response to business cases. Recognises the difference between open source and proprietary systems options. Produces detailed evaluation criteria for more complex tenders and assists in evaluation of tenders. Acts as the routine contact point between organisation and supplier. Collects and reports on supplier performance data.","N/A","N/A","N/A","N/A"
"Engineering Manager","Manager","Works under broad direction. Work is often self-initiated. Is fully accountable for meeting allocated technical and/or project/supervisory objectives. Establishes milestones and has a significant role in the delegation of responsibilities.","Influences organisation, customers, suppliers, partners and peers on the contribution of own specialism. Builds appropriate and effective business relationships. Makes decisions which impact the success of assigned projects i.e. results, deadlines and budget. Has significant influence over the allocation and management of resources appropriate to given assignments. Takes formal accountability for projects or initiatives that have a significant impact on the success of the business, e.g. for a key part of the application architecture or a major process reengineering. Provides thought leadership by initiating and leading debate relevant to the organisation. Takes responsibility for forming and maintaining successful teams. Remains calm and collected in times of pressure and crisis.","Performs an extensive range and variety of complex technical and/or professional work activities. Undertakes work which requires the application of fundamental principles in a wide and often unpredictable range of contexts. Understands the relationship between own specialism and wider customer/organisational requirements. Demonstrates flexibility, adaptability and focus through day to day work changes, and shifting priorities during periods of uncertainty. Evaluates progress and outcomes in a realistic and comprehensive way, and acts on results. Is committed, active and focussed on work outcomes, even in uncertain or difficult circumstances. Shows initiative and innovation in response to a changing environment. Uses experience and knowledge to identify strengths, weaknesses, opportunities, and threats.","Advises on the available standards, methods, tools and applications relevant to own specialism and can make appropriate choices from alternatives. Analyses, designs, plans, executes and evaluates work to time, cost and quality targets. Assesses and evaluates risk. Communicates effectively, both formally and informally. Demonstrates leadership. Facilitates collaboration between stakeholders who have diverse objectives. Understands the relevance of own area of responsibility/specialism to the employing organisation. Takes customer requirements into account when making proposals. Takes initiative to keep skills up to date. Mentors colleagues. Maintains an awareness of developments in the industry. Analyses requirements and advises on scope and options for continuous operational improvement. Demonstrates creativity and innovation in applying solutions for the benefit of the customer/stakeholder. Takes account of relevant legislation.","(5) Provides advice and guidance on security strategies to manage identified risks and ensure adoption and adherence to standards. Obtains and acts on vulnerability information and conducts security risk assessments, business impact analysis and accreditation on complex information systems. Investigates major breaches of security, and recommends appropriate control improvements. Contributes to development of information security policy, standards and guidelines.","(4) Maintains knowledge of specific specialisms, provides detailed advice regarding their application and executes specialised tasks. The specialism can be any area of information or communication technology, technique, method, product or application area.","(5) Actively monitors for, and seeks, opportunities, new methods, trends, capabilities and products to the advancement of the organisation. Clearly articulates, and formally reports potential benefits from both structural and incremental change. Encourages and motivates colleagues to share creative ideas and learn from failures.","(4) Maintains awareness of opportunities provided by new technology to address challenges or to enable new ways of working. Within own sphere of influence, works to further organisational goals, by the study and use of emerging technologies and products. Contributes to briefings and presentations about their relevance and potential value to the organisation.","N/A","(5) Promotes and ensures use of appropriate techniques, methodologies and tools.","(4) Defines, documents and carries out small projects or sub-projects (typically less than six months, with  limited budget, limited interdependency with other projects, and no significant strategic impact), alone or with a small team, actively participating in all phases. Identifies, assesses and manages risks to the success of the project. Agrees project approach with stakeholders, and prepares realistic plans (including quality, risk and communications plans) and tracks activities against the project schedule, managing stakeholder involvement as appropriate. Monitors costs, timescales and resources used, and takes action where these deviate from agreed tolerances. Ensures that own projects are formally closed and, where appropriate, subsequently reviewed, and that lessons learned are recorded.","N/A","N/A","(5) Conducts business impact assessment to identify how the changes from the 'as-is' processes, systems, and structures to the 'to-be' processes, systems and structures impact specific organisations and roles. Outlines how the organisation structure, jobs, teams and roles and staff development need to change to enable the future business processes. Aligns existing jobs/organisational structures to new processes.","N/A","(4) Implements stakeholder engagement/ communications plans, including, for example; handling of complaints; problems and issues; managing resolutions; corrective actions and lessons learned; collection and dissemination of relevant information. Uses feedback from customers and stakeholders to help measure effectiveness of stakeholder management. Helps develop and enhance customer and stakeholder relationships.","(4) Contributes to the development and maintenance of a catalogue of learning and development resources. Books and organises learning events. Updates and controls training records, including attainment of certificates and accreditations.","(4) Performs routine and non-routine assessments of knowledge, skills and behaviour using specified methods and according to specified standards. Gathers inputs for the analysis and evaluation of learning programmes.","N/A","(5) Defines solution development projects which support the organisation's objectives and plans. Ensures that senior management is both aware of and able to provide the required resources. Contributes effectively to improving solution development processes within the organisation justified by measurable business benefits. Facilitates availability and optimum utilisation of resources, especially in Agile projects. Monitors and reports on the progress of development projects, ensuring that projects are carried out in accordance with agreed standards, methods and procedures (including secure software development). Applies secure development improvement practices.","N/A","(4) Recommends/designs structures and tools for systems which meet business needs and takes into account target environment, performance  security requirements and existing systems. Delivers technical visualisation of proposed applications for approval by customer and execution by system developers. Translates logical designs into physical designs, and produces detailed design documentation. Maps work to user specification and removes errors and deviations from specification to achieve user-friendly processes.","N/A","(5) Sets local or team-based standards for programming tools and techniques, including security guidelines, and the selection of appropriate development methods. Advises on application of standards and methods and ensures compliance. Takes technical responsibility for all stages and/or iterations in a software development project, providing method specific technical advice and guidance to project stakeholders. Assigns work packages, monitors performance and manages change control dynamically, to optimise productivity. Provides advice, guidance and assistance to less experienced colleagues as required.","N/A","(2) Develops a broad understanding of technical publication concepts, tools and methods and the way in which these are implemented. Develops an understanding of content development support activities, such as information gathering, user task analysis, creating draft content, illustration, printing and publishing. Works with colleagues and clients to understand audience needs and to assimilate source material. Presents information clearly, concisely and accurately in appropriate plain language, which meets the needs of the user as clearly, simply and quickly as possible.","(4) Accepts responsibility for creation of test cases using own in-depth technical analysis of both functional and non-functional specifications (such as reliability, efficiency, usability, maintainability and portability). Creates traceability records, from test cases back to requirements. Produces test scripts, materials and regression test packs to test new and amended software or services. Specifies requirements for environment, data, resources and tools. Interprets, executes and documents complex test scripts using agreed methods and standards. Records and analyses actions and results, and maintains a defect register. Reviews test results and modifies tests if necessary. Provides reports on progress, anomalies, risks and issues associated with the overall project. Reports on system quality and collects metrics on test cases. Provides specialist advice to support others.","N/A","N/A","N/A","N/A","(5) Develops plans to ensure that the organisation has appropriately skilled resources to meet organisational objectives and commitments. Manages the effective implementation of resource planning, recruitment, selection, assessment, on-boarding and transitioning of resources. Advises on standards, methods and tools for resource management. Ensures compliance with relevant statutory or external regulations and codes of good practice. Contributes to the development of resource management policies, standards and guidelines and to audits and assessment of resource management processes.","N/A","N/A","N/A","N/A","(4) Controls, updates and distributes new and revised quality standards, including technical changes.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","(5) Manages individuals and groups. Allocates responsibilities and/or packages of work. Provides support and guidance as required, in line with individuals’ abilities. Delegates responsibilities as appropriate. Advises individuals on career paths, and encourages pro-active development of skills and capabilities. Sets performance targets, and monitors progress against agreed quality and performance criteria. Provides effective feedback, throughout the performance management cycle, to ensure optimum performance. Mentors individuals, possibly within other parts of the organisation. Participates, as appropriate, in formal processes such as compensation negotiations and disciplinary procedures.","(4) Reviews business cases (requirements, potential benefits and options) and determines appropriate procurement routes. e.g., open market or collaborative framework. Using market knowledge to inform specifications, ensures detailed pre-qualification questionnaires and tender invitations are prepared. Collects and collates data to support collaboration and negotiates terms and conditions to reflect the scale of requirements and encourage good performance. Evaluates tenders based on specification and evaluation criteria, prepares acceptance documentation and advises on contracts and service level agreements. Monitors and reports on supplier performance, information security, customer satisfaction, and market intelligence. Investigates, resolves or escalates problems. Implements supplier service improvement actions and programmes.","N/A","N/A","N/A","N/A"
